Percentile	FlowSize	alpha=0-beta=4-fct_p50	alpha=0-beta=4-fct_p99	alpha=4-beta=0-fct_p50	alpha=4-beta=0-fct_p99	normal-fct_p50	normal-fct_p99
0	3438	25.9977	50.0189	7.41216	19.3161	6.77832	12.1388
0.05	6948	25.9819	50.0184	6.8985	19.3797	6.78362	14.1245
0.1	10687	25.9875	50.0291	7.38372	19.3135	6.8749	14.0868
0.15	20190	25.9866	50.0151	6.96889	19.371	6.54348	12.8583
0.2	25512	25.9889	49.9941	7.16702	19.4338	6.74755	12.5973
0.25	31225	25.9857	50.001	7.02623	19.48	6.61769	12.9187
0.3	41522	25.985	49.9813	7.18651	19.4221	6.61595	13.586
0.35	51553	25.9706	49.9818	6.24009	19.6989	6.56397	12.6428
0.4	62504	25.964	49.9916	7.33869	19.704	6.73855	12.1002
0.45	75185	25.9561	49.9716	7.43551	19.7692	6.56154	12.9295
0.5	123959	25.9602	49.9502	7.85846	20.1132	6.89502	13.3645
0.55	244574	25.9293	49.9492	7.87737	21.2568	6.78492	13.0991
0.6	644071	25.829	49.7573	8.35925	25.3317	6.61053	14.003
0.65	1092237	25.5644	49.3641	10.5602	28.9469	6.64154	14.1297
0.7	1578359	25.408	49.0653	14.4018	34.8837	6.96221	13.1868
0.75	2128826	25.2252	48.7064	18.6739	35.8996	7.53704	14.5027
0.8	3526391	24.7259	48.2535	23.4008	41.1122	7.42734	14.1089
0.85	5133441	24.0892	47.2379	29.6263	51.2701	7.82445	14.65
0.9	8794188	23.1721	45.7423	31.0311	60.3155	7.74703	15.9536
0.95	29683802	19.4853	43.3608	31.1566	58.4415	8.65601	17.1156
