Percentile	FlowSize	w_ql=2-w_tl=1-w_dp=1-fct_p50	w_ql=2-w_tl=1-w_dp=1-fct_p99	w_ql=1-w_tl=2-w_dp=1-fct_p50	w_ql=1-w_tl=2-w_dp=1-fct_p99	w_ql=1-w_tl=1-w_dp=2-fct_p50	w_ql=1-w_tl=1-w_dp=2-fct_p99
0	3438	6.73401	14.1527	6.6495	14.9566	6.59004	13.827
0.05	6948	6.67227	15.1662	7.16425	13.9244	6.67597	14.7222
0.1	10687	6.74227	15.5238	7.09388	13.9426	6.86417	15.5905
0.15	20190	6.52858	13.5319	6.65115	15.3362	6.52865	15.4877
0.2	25512	6.62741	12.9372	6.21815	14.8833	6.53795	14.9878
0.25	31225	6.76599	16.5397	5.7699	14.4954	6.51142	15.5576
0.3	41522	6.61085	12.8865	6.64277	14.8958	6.69467	15.4737
0.35	51553	6.11238	12.5957	6.64516	15.2058	6.5839	16.2901
0.4	62504	6.69161	13.3062	7.08883	15.1834	6.74872	16.5156
0.45	75185	6.74721	16.4075	5.99165	14.7362	6.62022	15.9525
0.5	123959	6.737	16.8391	6.76391	15.269	6.82331	16.3224
0.55	244574	6.80511	14.2731	6.80149	15.042	6.76728	15.5071
0.6	644071	6.59916	14.2421	6.46956	15.0304	7.03228	16.2996
0.65	1092237	6.91102	13.9644	7.07508	16.104	7.27476	16.459
0.7	1578359	6.6368	13.2129	7.90557	16.9856	7.5394	16.8279
0.75	2128826	7.07779	16.1627	8.07233	18.5429	8.05144	17.9317
0.8	3526391	6.95457	13.1296	8.83161	20.843	8.39145	18.16
0.85	5133441	7.58478	13.9562	10.7304	24.3806	9.96311	19.717
0.9	8794188	7.50284	14.5834	12.4446	27.1539	10.8929	20.9015
0.95	29683802	7.43588	14.6059	14.01	27.0913	11.259	21.0613
