Percentile	FlowSize	alpha=3-beta=1-fct_p50	alpha=3-beta=1-fct_p99	alpha=2-beta=2-fct_p50	alpha=2-beta=2-fct_p99	alpha=1-beta=3-fct_p50	alpha=1-beta=3-fct_p99
0	3438	6.73401	14.1527	6.93164	27.6095	6.77573	30.4805
0.05	6948	6.67227	15.1662	6.91168	30.5599	6.75552	19.3456
0.1	10687	6.74227	15.5238	6.94869	27.6049	6.81047	27.556
0.15	20190	6.52858	13.5319	6.70487	27.5934	6.76011	27.5677
0.2	25512	6.62741	12.9372	6.83365	27.4875	6.70947	30.4998
0.25	31225	6.76599	16.5397	6.74231	27.5362	6.6647	30.5139
0.3	41522	6.61085	12.8865	6.79073	27.5122	6.53561	30.4615
0.35	51553	6.11238	12.5957	6.71753	27.6042	6.53123	27.5346
0.4	62504	6.69161	13.3062	6.72826	27.6069	6.68795	27.4933
0.45	75185	6.74721	16.4075	6.87993	27.6115	6.64169	30.4454
0.5	123959	6.737	16.8391	6.86004	27.5513	6.83213	27.4572
0.55	244574	6.80511	14.2731	6.85628	30.4115	6.78157	27.5498
0.6	644071	6.59916	14.2421	6.81308	30.3235	6.72703	30.3063
0.65	1092237	6.91102	13.9644	6.89233	27.1964	6.51281	25.8757
0.7	1578359	6.6368	13.2129	6.78275	27.645	6.68202	27.3312
0.75	2128826	7.07779	16.1627	7.3271	29.6073	7.03388	26.7554
0.8	3526391	6.95457	13.1296	7.32883	26.5295	7.05117	28.8228
0.85	5133441	7.58478	13.9562	7.58903	28.6685	7.30048	28.5501
0.9	8794188	7.50284	14.5834	7.33454	27.1229	7.06321	25.5554
0.95	29683802	7.43588	14.6059	7.32601	24.4209	6.66994	22.8509
